attribute_name,attribute_description
variable_name,Name of the variable in the dataset column header
variable_long_name,A more human readable name for the variable than the column header name.
units,Any units associated with the variable.
description,Narrative summary describing the variable. Include any subsampling or smoothing windows.
data_type,Date; number; character
format,"Description of variable format. Use R notation to describe date formats (e.g. ""%Y/%m/%d  %H:%M"")."
missing_value_indicator,Text or numbers used to indicate missing values.
instrument,If applicable identify the insturment used to record the observation.
variable_min,Minimum value of the variable in the dataset.
variable_max,Maximum value of the variable in the dataset.
